DEPARTAMENTO,MUNICIPIO,DIVIPOLA,FB key,venezuelan_mau_jan15,venezuelan_dau_jan15,venezuelan_mau_jan30,venezuelan_dau_jan30,venezuelan_mau_feb15,venezuelan_dau_feb15,venezuelan_mau_feb28,venezuelan_dau_feb28
#adm1+name,#adm2+name,#adm2+pcode,#adm2+fbcode,inneed+migrants+monthly,inneed+migrants+daily,inneed+migrants+monthly,inneed+migrants+daily,inneed+migrants+monthly,inneed+migrants+daily,inneed+migrants+monthly,inneed+migrants+daily
AMAZONAS,Aramango,PE010202,1684138,0,0,0,0,0,0,0,0
AMAZONAS,Asuncion,PE010102,1684322,0,0,0,0,0,0,0,0
AMAZONAS,Bagua,PE010201,1684604,0,0,0,0,0,0,0,0
AMAZONAS,Bagua Grande,PE010701,1684606,0,0,1000,997,0,0,0,0
AMAZONAS,Balsas,PE010103,1684649,0,0,0,0,0,0,0,0
AMAZONAS,Cajaruro,PE010702,1685291,0,0,0,0,0,0,0,0
AMAZONAS,Camporredondo,PE010502,1685629,0,0,0,0,0,0,0,0
AMAZONAS,Chachapoyas,PE010101,,0,0,0,0,0,0,0,0
AMAZONAS,Cheto,PE010104,,0,0,0,0,0,0,0,0
AMAZONAS,Chiliquin,PE010105,1687840,0,0,0,0,0,0,0,0
AMAZONAS,Chirimoto,PE010602,1688141,0,0,0,0,0,0,0,0
AMAZONAS,Chisquilla,PE010302,1688172,0,0,0,0,0,0,0,0
AMAZONAS,Chuquibamba,PE010106,1688732,0,0,0,0,0,0,0,0
AMAZONAS,Churuja,PE010303,1688801,0,0,0,0,0,0,0,0
AMAZONAS,Cocabamba,PE010503,1688928,0,0,0,0,0,0,0,0
AMAZONAS,Cochamal,PE010603,1688973,0,0,0,0,0,0,0,0
AMAZONAS,Colcamar,PE010504,1689094,0,0,0,0,0,0,0,0
AMAZONAS,Conila,PE010505,1689477,0,0,0,0,0,0,0,0
AMAZONAS,Copallin,PE010203,1689547,0,0,0,0,0,0,0,0
AMAZONAS,Corosha,PE010304,1689656,0,0,0,0,0,0,0,0
AMAZONAS,Cuispes,PE010305,1690066,0,0,0,0,0,0,0,0
AMAZONAS,Cumba,PE010703,1690153,0,0,0,0,0,0,0,0
AMAZONAS,El Cenepa,PE010402,,0,0,0,0,0,0,0,0
AMAZONAS,El Milagro,PE010704,1698409,0,0,0,0,0,0,0,0
AMAZONAS,El Parco,PE010204,1690789,0,0,0,0,0,0,0,0
AMAZONAS,Florida,PE010306,1691279,0,0,0,0,0,0,0,0
AMAZONAS,Granada,PE010107,1691557,0,0,0,0,0,0,0,0
AMAZONAS,Huambo,PE010604,1693284,0,0,0,0,0,0,0,0
AMAZONAS,Huancas,PE010108,1693478,0,0,0,0,0,0,0,0
AMAZONAS,Imaza,PE010205,,0,0,0,0,0,0,0,0
AMAZONAS,Inguilpata,PE010506,1694693,0,0,0,0,0,0,0,0
AMAZONAS,Jamalca,PE010705,1694987,0,0,0,0,0,0,0,0
AMAZONAS,Jazan,PE010307,,0,0,0,0,0,0,0,0
AMAZONAS,Jumbilla,PE010301,1695502,0,0,0,0,0,0,0,0
AMAZONAS,La Jalca,PE010109,1696038,0,0,0,0,0,0,0,0
AMAZONAS,La Peca,PE010206,1696286,0,0,0,0,0,0,0,0
AMAZONAS,Lamud,PE010501,1696183,0,0,0,0,0,0,0,0
AMAZONAS,Leimebamba,PE010110,1696809,0,0,0,0,0,0,0,0
AMAZONAS,Levanto,PE010111,1696806,0,0,0,0,0,0,0,0
AMAZONAS,Limabamba,PE010605,1696843,0,0,0,0,0,0,0,0
AMAZONAS,Longar,PE010606,1697294,0,0,0,0,0,0,0,0
AMAZONAS,Longuita,PE010507,1697300,0,0,0,0,0,0,0,0
AMAZONAS,Lonya Chico,PE010508,1697304,0,0,0,0,0,0,0,0
AMAZONAS,Lonya Grande,PE010706,1697305,0,0,0,0,0,0,0,0
AMAZONAS,Luya,PE010509,1697590,0,0,0,0,0,0,0,0
AMAZONAS,Luya Viejo,PE010510,1697593,0,0,0,0,0,0,0,0
AMAZONAS,Magdalena,PE010112,1697740,0,0,0,0,0,0,0,0
AMAZONAS,Maria,PE010511,,0,0,0,0,0,0,0,0
AMAZONAS,Mariscal Benavides,PE010607,1698149,0,0,0,0,0,0,0,0
AMAZONAS,Mariscal Castilla,PE010113,1698154,0,0,0,0,0,0,0,0
AMAZONAS,Milpuc,PE010608,,0,0,0,0,0,0,0,0
AMAZONAS,Molinopampa,PE010114,1698688,0,0,0,0,0,0,0,0
AMAZONAS,Montevideo,PE010115,1698865,0,0,0,0,0,0,0,0
AMAZONAS,Nieva,PE010401,1705226,0,0,0,0,0,0,0,0
AMAZONAS,Ocalli,PE010512,1699475,0,0,0,0,0,0,0,0
AMAZONAS,Ocumal,PE010513,1699579,0,0,0,0,0,0,0,0
AMAZONAS,Olleros,PE010116,1699638,0,0,0,0,0,0,0,0
AMAZONAS,Omia,PE010609,1699661,0,0,0,0,0,0,0,0
AMAZONAS,Pisuquia,PE010514,1701703,0,0,0,0,0,0,0,0
AMAZONAS,Providencia,PE010515,1702080,0,0,0,0,0,0,0,0
AMAZONAS,Quinjalca,PE010117,1703317,0,0,0,0,0,0,0,0
AMAZONAS,Recta,PE010308,1703672,0,0,0,0,0,0,0,0
AMAZONAS,Rio Santiago,PE010403,,0,0,0,0,0,0,0,0
AMAZONAS,San Carlos,PE010309,1704383,0,0,0,0,0,0,0,0
AMAZONAS,San Cristobal,PE010516,1704417,0,0,0,0,0,0,0,0
AMAZONAS,San Francisco De Daguas,PE010118,1704488,0,0,0,0,0,0,0,0
AMAZONAS,San Francisco Del Yeso,PE010517,1704475,0,0,0,0,0,0,0,0
AMAZONAS,San Isidro De Maino,PE010119,1704570,0,0,0,0,0,0,0,0
AMAZONAS,San Jeronimo,PE010518,1704606,0,0,0,0,0,0,0,0
AMAZONAS,San Juan De Lopecancha,PE010519,1704756,0,0,0,0,0,0,0,0
AMAZONAS,San Nicolas,PE010601,1704900,0,0,0,0,0,0,0,0
AMAZONAS,Santa Catalina,PE010520,1705083,0,0,0,0,0,0,0,0
AMAZONAS,Santa Rosa,PE010610,1705304,0,0,0,0,0,0,0,0
AMAZONAS,Santo Tomas,PE010521,1705405,0,0,0,0,0,0,0,0
AMAZONAS,Shipasbamba,PE010310,1705752,0,0,0,0,0,0,0,0
AMAZONAS,Soloco,PE010120,1706109,0,0,0,0,0,0,0,0
AMAZONAS,Sonche,PE010121,,0,0,0,0,0,0,0,0
AMAZONAS,Tingo,PE010522,1707236,0,0,0,0,0,0,0,0
AMAZONAS,Totora,PE010611,1707653,0,0,0,0,0,0,0,0
AMAZONAS,Trita,PE010523,,0,0,0,0,0,0,0,0
AMAZONAS,Valera,PE010311,1708445,0,0,0,0,0,0,0,0
AMAZONAS,Vista Alegre,PE010612,1708805,0,0,0,0,0,0,0,0
AMAZONAS,Yambrasbamba,PE010312,1708937,0,0,0,0,0,0,0,0
AMAZONAS,Yamon,PE010707,1708942,0,0,0,0,0,0,0,0
ANCASH,Abelardo Pardo Lezameta,PE020502,2717243,0,0,0,0,0,0,0,0
ANCASH,Acas,PE021402,1682989,0,0,0,0,0,0,0,0
ANCASH,Aco,PE020902,1683113,0,0,0,0,0,0,0,0
ANCASH,Acobamba,PE021902,1683123,0,0,0,0,0,0,0,0
ANCASH,Acochaca,PE020402,1683130,0,0,0,0,0,0,0,0
ANCASH,Acopampa,PE020602,1683163,0,0,0,0,0,0,0,0
ANCASH,Aczo,PE020302,1683215,0,0,0,0,0,0,0,0
ANCASH,Aija,PE020201,1683306,0,0,0,0,0,0,0,0
ANCASH,Alfonso Ugarte,PE021903,1683415,0,0,0,0,0,0,0,0
ANCASH,Amashca,PE020603,1683617,0,0,0,0,0,0,0,0
ANCASH,Anra,PE021002,,0,0,0,0,0,0,0,0
ANCASH,Anta,PE020604,1683939,0,0,0,0,0,0,0,0
ANCASH,Antonio Raymondi,PE020503,2717269,0,0,0,0,0,0,0,0
ANCASH,Aquia,PE020504,1684109,0,0,0,0,0,0,0,0
ANCASH,Ataquero,PE020605,1684355,0,0,0,0,0,0,0,0
ANCASH,Bambas,PE020903,1684661,0,0,0,0,0,0,0,0
ANCASH,Bolognesi,PE021502,1684902,0,0,0,0,0,0,0,0
ANCASH,Buena Vista Alta,PE020802,1684969,0,0,0,0,0,0,0,0
ANCASH,Cabana,PE021501,1685046,0,0,0,0,0,0,0,0
ANCASH,Caceres Del Peru,PE021802,,0,0,0,0,0,0,0,0
ANCASH,Cajacay,PE020505,1685268,0,0,0,0,0,0,0,0
ANCASH,Cajamarquilla,PE021403,1685278,0,0,0,0,0,0,0,0
ANCASH,Cajay,PE021003,1691733,0,0,0,0,0,0,0,0
ANCASH,Canis,PE020506,1685750,0,0,0,0,0,0,0,0
ANCASH,Caraz,PE021201,1686006,0,0,0,0,0,0,0,0
ANCASH,Carhuapampa,PE021404,1686068,0,0,0,0,0,0,0,0
ANCASH,Carhuaz,PE020601,1686083,0,0,0,0,0,0,0,0
ANCASH,Casca,PE021302,1686270,0,0,0,0,0,0,0,0
ANCASH,Cascapara,PE022002,1686289,0,0,0,0,0,0,0,0
ANCASH,Cashapampa,PE021904,,0,0,0,0,0,0,0,0
ANCASH,Casma,PE020801,1702414,0,0,0,0,0,0,0,0
ANCASH,Catac,PE021702,1686372,0,0,0,0,0,0,0,0
ANCASH,Chacas,PE020401,1686939,0,0,0,0,0,0,0,0
ANCASH,Chaccho,PE020303,1686959,0,0,0,0,0,0,0,0
ANCASH,Chavin De Huantar,PE021004,1687542,0,0,0,0,0,0,0,0
ANCASH,Chimbote,PE021801,1687931,3900,1906,3800,2539,3600,2038,4600,2752
ANCASH,Chingalpo,PE021905,1688035,0,0,0,0,0,0,0,0
ANCASH,Chingas,PE020304,1688044,0,0,0,0,0,0,0,0
ANCASH,Chiquian,PE020501,1688102,0,0,0,0,0,0,0,0
ANCASH,Cochabamba,PE020102,1688950,0,0,0,0,0,0,0,0
ANCASH,Cochapeti,PE021102,1688996,0,0,0,0,0,0,0,0
ANCASH,Cochas,PE021405,2717319,0,0,0,0,0,0,0,0
ANCASH,Coishco,PE021803,1689062,0,0,0,0,0,0,0,0
ANCASH,Colcabamba,PE020103,1689083,0,0,0,0,0,0,0,0
ANCASH,Colquioc,PE020507,1689269,0,0,0,0,0,0,0,0
ANCASH,Comandante Noel,PE020803,1689309,0,0,0,0,0,0,0,0
ANCASH,Conchucos,PE021503,1689362,0,0,0,0,0,0,0,0
ANCASH,Congas,PE021406,1689456,0,0,0,0,0,0,0,0
ANCASH,Coris,PE020202,1689631,0,0,0,0,0,0,0,0
ANCASH,Corongo,PE020901,1689648,0,0,0,0,0,0,0,0
ANCASH,Cotaparaco,PE021703,,0,0,0,0,0,0,0,0
ANCASH,Culebras,PE021103,1690085,0,0,0,0,0,0,0,0
ANCASH,Cusca,PE020904,1690285,0,0,0,0,0,0,0,0
ANCASH,Eleazar Guzman Barron,PE021303,,0,0,0,0,0,0,0,0
ANCASH,Fidel Olivas Escudero,PE021304,,0,0,0,0,0,0,0,0
ANCASH,Huacachi,PE021005,1692776,0,0,0,0,0,0,0,0
ANCASH,Huacaschuque,PE021504,1692840,0,0,0,0,0,0,0,0
ANCASH,Huacchis,PE021006,,0,0,0,0,0,0,0,0
ANCASH,Huachis,PE021007,1692911,0,0,0,0,0,0,0,0
ANCASH,Huacllan,PE020203,1692939,0,0,0,0,0,0,0,0
ANCASH,Huallanca,PE020508,1693136,0,0,0,0,0,0,0,0
ANCASH,Huallanca,PE021202,,0,0,0,0,0,0,0,0
ANCASH,Huanchay,PE020104,1693502,0,0,0,0,0,0,0,0
ANCASH,Huandoval,PE021505,1693538,0,0,0,0,0,0,0,0
ANCASH,Huantar,PE021008,1693588,0,0,0,0,0,0,0,0
ANCASH,Huaraz,PE020101,1693754,0,0,0,0,0,0,0,0
ANCASH,Huari,PE021001,1693807,0,0,0,0,0,0,0,0
ANCASH,Huarmey,PE021101,1693833,0,0,1000,997,1000,997,1000,999
ANCASH,Huasta,PE020509,1693934,0,0,0,0,0,0,0,0
ANCASH,Huata,PE021203,1693942,0,0,0,0,0,0,0,0
ANCASH,Huayan,PE021104,1694014,0,0,0,0,0,0,0,0
ANCASH,Huaylas,PE021204,1694073,0,0,0,0,0,0,0,0
ANCASH,Huayllabamba,PE021906,1694081,0,0,0,0,0,0,0,0
ANCASH,Huayllacayan,PE020510,1694084,0,0,0,0,0,0,0,0
ANCASH,Huayllan,PE021602,,0,0,0,0,0,0,0,0
ANCASH,Huayllapampa,PE021704,1694114,0,0,0,0,0,0,0,0
ANCASH,Independencia,PE020105,1694657,0,0,0,0,0,0,0,0
ANCASH,Jangas,PE020106,1695041,0,0,0,0,0,0,0,0
ANCASH,La Libertad,PE020107,1691605,0,0,0,0,0,0,0,0
ANCASH,La Merced,PE020204,1696140,0,0,0,0,0,0,0,0
ANCASH,La Pampa,PE020905,1696265,0,0,0,0,0,0,0,0
ANCASH,La Primavera,PE020511,,0,0,0,0,0,0,0,0
ANCASH,Lacabamba,PE021506,1695642,0,0,0,0,0,0,0,0
ANCASH,Llacllin,PE021705,1696968,0,0,0,0,0,0,0,0
ANCASH,Llama,PE021305,1697029,0,0,0,0,0,0,0,0
ANCASH,Llamellin,PE020301,1697042,0,0,0,0,0,0,0,0
ANCASH,Llapo,PE021507,1697100,0,0,0,0,0,0,0,0
ANCASH,Llipa,PE021407,1697152,0,0,0,0,0,0,0,0
ANCASH,Llumpa,PE021306,1697222,0,0,0,0,0,0,0,0
ANCASH,Lucma,PE021307,1697493,0,0,0,0,0,0,0,0
ANCASH,Macate,PE021804,1697626,0,0,0,0,0,0,0,0
ANCASH,Malvas,PE021105,1697838,0,0,0,0,0,0,0,0
ANCASH,Mancos,PE022003,1697922,0,0,0,0,0,0,0,0
ANCASH,Mangas,PE020512,1697936,0,0,0,0,0,0,0,0
ANCASH,Marca,PE021706,1698072,0,0,0,0,0,0,0,0
ANCASH,Marcara,PE020606,1698088,0,0,0,0,0,0,0,0
ANCASH,Masin,PE021009,,0,0,0,0,0,0,0,0
ANCASH,Matacoto,PE022004,,0,0,0,0,0,0,0,0
ANCASH,Mato,PE021205,,0,0,0,0,0,0,0,0
ANCASH,Mirgas,PE020305,1698555,0,0,0,0,0,0,0,0
ANCASH,Moro,PE021805,1698905,0,0,0,0,0,0,0,0
ANCASH,Musga,PE021308,,0,0,0,0,0,0,0,0
ANCASH,Nepeña,PE021806,1699263,0,0,0,0,0,0,0,0
ANCASH,Nuevo Chimbote,PE021809,,0,0,0,0,0,0,0,0
ANCASH,Ocros,PE021401,1699562,0,0,0,0,0,0,0,0
ANCASH,Olleros,PE020108,1699639,0,0,0,0,0,0,0,0
ANCASH,Pacllon,PE020513,1700025,0,0,0,0,0,0,0,0
ANCASH,Pallasca,PE021508,1700253,0,0,0,0,0,0,0,0
ANCASH,Pamparomas,PE021206,1700580,0,0,0,0,0,0,0,0
ANCASH,Pampas,PE021509,1700595,0,0,0,0,0,0,0,0
ANCASH,Pampas Chico,PE021707,1700588,0,0,0,0,0,0,0,0
ANCASH,Pampas Grande,PE020109,,0,0,0,0,0,0,0,0
ANCASH,Pararin,PE021708,1700780,0,0,0,0,0,0,0,0
ANCASH,Pariacoto,PE020110,1700846,0,0,0,0,0,0,0,0
ANCASH,Pariahuanca,PE020607,1700848,0,0,0,0,0,0,0,0
ANCASH,Parobamba,PE021603,1700892,0,0,0,0,0,0,0,0
ANCASH,Paucas,PE021010,1701153,0,0,0,0,0,0,0,0
ANCASH,Pira,PE020111,1701734,0,0,0,0,0,0,0,0
ANCASH,Piscobamba,PE021301,1701669,0,0,0,0,0,0,0,0
ANCASH,Pomabamba,PE021601,1701858,0,0,0,0,0,0,0,0
ANCASH,Ponto,PE021011,1701915,0,0,0,0,0,0,0,0
ANCASH,Pueblo Libre,PE021207,1702270,0,0,0,0,0,0,0,0
ANCASH,Quiches,PE021907,1703177,0,0,0,0,0,0,0,0
ANCASH,Quillo,PE022005,1703244,0,0,0,0,0,0,0,0
ANCASH,Quinuabamba,PE021604,1703337,0,0,0,0,0,0,0,0
ANCASH,Ragash,PE021908,,0,0,0,0,0,0,0,0
ANCASH,Rahuapampa,PE021012,1703529,0,0,0,0,0,0,0,0
ANCASH,Ranrahirca,PE022006,1703606,0,0,0,0,0,0,0,0
ANCASH,Rapayan,PE021013,,0,0,0,0,0,0,0,0
ANCASH,Recuay,PE021701,1703675,0,0,0,0,0,0,0,0
ANCASH,Samanco,PE021807,1704231,0,0,0,0,0,0,0,0
ANCASH,San Cristobal De Rajan,PE021408,2717534,0,0,0,0,0,0,0,0
ANCASH,San Juan,PE021909,1692436,0,0,0,0,0,0,0,0
ANCASH,San Juan De Rontoy,PE020306,,0,0,0,0,0,0,0,0
ANCASH,San Luis,PE020701,1704806,0,0,0,0,0,0,0,0
ANCASH,San Marcos,PE021014,1704820,0,0,0,0,0,0,0,0
ANCASH,San Miguel De Aco,PE020608,1704881,0,0,0,0,0,0,0,0
ANCASH,San Miguel De Corpanqui,PE020514,1689665,0,0,0,0,0,0,0,0
ANCASH,San Nicolas,PE020702,1704901,0,0,0,0,0,0,0,0
ANCASH,San Pedro,PE021409,2717567,0,0,0,0,0,0,0,0
ANCASH,San Pedro De Chana,PE021015,,0,0,0,0,0,0,0,0
ANCASH,Santa,PE021808,1705330,0,0,0,0,0,0,0,0
ANCASH,Santa Cruz,PE021208,,0,0,0,0,0,0,0,0
ANCASH,Santa Rosa,PE021510,1705305,0,0,0,0,0,0,0,0
ANCASH,Santiago De Chilcas,PE021410,1705355,0,0,0,0,0,0,0,0
ANCASH,Santo Toribio,PE021209,2717607,0,0,0,0,0,0,0,0
ANCASH,Shilla,PE020609,1705737,0,0,0,0,0,0,0,0
ANCASH,Shupluy,PE022007,1705808,0,0,0,0,0,0,0,0
ANCASH,Sicsibamba,PE021910,1705841,0,0,0,0,0,0,0,0
ANCASH,Sihuas,PE021901,1705870,0,0,0,0,0,0,0,0
ANCASH,Succha,PE020205,1706232,0,0,0,0,0,0,0,0
ANCASH,Tapacocha,PE021709,1706848,0,0,0,0,0,0,0,0
ANCASH,Tarica,PE020112,1706914,0,0,0,0,0,0,0,0
ANCASH,Tauca,PE021511,1706975,0,0,0,0,0,0,0,0
ANCASH,Ticapampa,PE021710,1707126,0,0,0,0,0,0,0,0
ANCASH,Ticllos,PE020515,1707137,0,0,0,0,0,0,0,0
ANCASH,Tinco,PE020610,1707214,0,0,0,0,0,0,0,0
ANCASH,Uco,PE021016,1708083,0,0,0,0,0,0,0,0
ANCASH,Yanac,PE020906,1708992,0,0,0,0,0,0,0,0
ANCASH,Yanama,PE022008,1709025,0,0,0,0,0,0,0,0
ANCASH,Yautan,PE020804,1709217,0,0,0,0,0,0,0,0
ANCASH,Yauya,PE020703,1709218,0,0,0,0,0,0,0,0
ANCASH,Yungar,PE020611,1709330,0,0,0,0,0,0,0,0
ANCASH,Yungay,PE022001,1709332,0,0,0,0,1000,997,0,0
ANCASH,Yupan,PE020907,1709344,0,0,0,0,0,0,0,0
ANCASH,Yuracmarca,PE021210,,0,0,0,0,0,0,0,0
APURIMAC,Abancay,PE030101,1682966,1000,399,1000,199,1000,749,1000,666
APURIMAC,Anco_Huallo,PE030602,2717263,0,0,0,0,0,0,0,0
APURIMAC,Andahuaylas,PE030201,1683826,0,0,0,0,0,0,0,0
APURIMAC,Andarapa,PE030202,1683852,0,0,0,0,0,0,0,0
APURIMAC,Antabamba,PE030301,1683948,0,0,0,0,0,0,0,0
APURIMAC,Capaya,PE030402,1685846,0,0,0,0,0,0,0,0
APURIMAC,Caraybamba,PE030403,1686004,0,0,0,0,0,0,0,0
APURIMAC,Chacoche,PE030102,,0,0,0,0,0,0,0,0
APURIMAC,Chalhuanca,PE030401,1687115,0,0,0,0,0,0,0,0
APURIMAC,Challhuahuacho,PE030506,1687172,1000,997,1000,997,1000,997,1000,997
APURIMAC,Chapimarca,PE030404,1687348,0,0,0,0,0,0,0,0
APURIMAC,Chiara,PE030203,1687631,0,0,0,0,0,0,0,0
APURIMAC,Chincheros,PE030601,1687994,0,0,0,0,0,0,0,0
APURIMAC,Chuquibambilla,PE030701,1688738,0,0,0,0,0,0,0,0
APURIMAC,Circa,PE030103,1688884,0,0,0,0,0,0,0,0
APURIMAC,Cocharcas,PE030603,,0,0,0,0,0,0,0,0
APURIMAC,Colcabamba,PE030405,1689084,0,0,0,0,0,0,0,0
APURIMAC,Cotabambas,PE030502,1689762,0,0,0,0,0,0,0,0
APURIMAC,Cotaruse,PE030406,1689782,0,0,0,0,0,0,0,0
APURIMAC,Coyllurqui,PE030503,1689822,0,0,0,0,0,0,0,0
APURIMAC,Curahuasi,PE030104,1690230,0,0,0,0,0,0,0,0
APURIMAC,Curasco,PE030714,1690240,0,0,0,0,0,0,0,0
APURIMAC,Curpahuasi,PE030702,1690268,0,0,0,0,0,0,0,0
APURIMAC,El Oro,PE030302,2717345,0,0,0,0,0,0,0,0
APURIMAC,El Porvenir,PE030610,1690821,0,0,0,0,0,0,0,0
APURIMAC,Gamarra,PE030703,,0,0,0,0,0,0,0,0
APURIMAC,Haquira,PE030504,1692648,0,0,0,0,0,0,0,0
APURIMAC,Huaccana,PE030604,1692863,0,0,0,0,0,0,0,0
APURIMAC,Huancarama,PE030204,1693445,0,0,0,0,0,0,0,0
APURIMAC,Huancaray,PE030205,1693454,0,0,0,0,0,0,0,0
APURIMAC,Huanipaca,PE030105,1693563,0,0,0,0,0,0,0,0
APURIMAC,Huaquirca,PE030303,1693640,0,0,0,0,0,0,0,0
APURIMAC,Huayana,PE030206,1694009,0,0,0,0,0,0,0,0
APURIMAC,Huayllati,PE030704,1694128,0,0,0,0,0,0,0,0
APURIMAC,Ihuayllo,PE030407,,0,0,0,0,0,0,0,0
APURIMAC,Jose Maria Arguedas,PE030220,1692428,0,0,0,0,0,0,0,0
APURIMAC,Juan Espinoza Medrano,PE030304,2717399,0,0,0,0,0,0,0,0
APURIMAC,Justo Apu Sahuaraura,PE030408,2717400,0,0,0,0,0,0,0,0
APURIMAC,Kaquiabamba,PE030219,2717401,0,0,0,0,0,0,0,0
APURIMAC,Kishuara,PE030207,,0,0,0,0,0,0,0,0
APURIMAC,Lambrama,PE030106,1696128,0,0,0,0,0,0,0,0
APURIMAC,Los Chankas,PE030611,,0,0,0,0,0,0,0,0
APURIMAC,Lucre,PE030409,1697515,0,0,0,0,0,0,0,0
APURIMAC,Mamara,PE030705,1697862,0,0,0,0,0,0,0,0
APURIMAC,Mara,PE030505,1698006,0,0,0,0,0,0,0,0
APURIMAC,Micaela Bastidas,PE030706,2717452,0,0,0,0,0,0,0,0
APURIMAC,Ocobamba,PE030605,1699520,0,0,0,0,0,0,0,0
APURIMAC,Ongoy,PE030606,1699670,0,0,0,0,0,0,0,0
APURIMAC,Oropesa,PE030305,,0,0,0,0,0,0,0,0
APURIMAC,Pachaconas,PE030306,1699971,0,0,0,0,0,0,0,0
APURIMAC,Pacobamba,PE030208,1683118,0,0,0,0,0,0,0,0
APURIMAC,Pacucha,PE030209,1700078,0,0,0,0,0,0,0,0
APURIMAC,Pampachiri,PE030210,1700428,0,0,0,0,0,0,0,0
APURIMAC,Pataypampa,PE030707,,0,0,0,0,0,0,0,0
APURIMAC,Pichirhua,PE030107,1701380,0,0,0,0,0,0,0,0
APURIMAC,Pocohuanca,PE030410,1701808,0,0,0,0,0,0,0,0
APURIMAC,Pomacocha,PE030211,1701869,0,0,0,0,0,0,0,0
APURIMAC,Progreso,PE030708,1702066,0,0,0,0,0,0,0,0
APURIMAC,Ranracancha,PE030608,1703600,0,0,0,0,0,0,0,0
APURIMAC,Rocchacc,PE030609,,0,0,0,0,0,0,0,0
APURIMAC,Sabaino,PE030307,1703988,0,0,0,0,0,0,0,0
APURIMAC,San Antonio,PE030709,1704326,0,0,0,0,0,0,0,0
APURIMAC,San Antonio De Cachi,PE030212,1704302,0,0,0,0,0,0,0,0
APURIMAC,San Jeronimo,PE030213,1704607,0,0,0,0,0,0,0,0
APURIMAC,San Juan De Chacña,PE030411,1704692,0,0,0,0,0,0,0,0
APURIMAC,San Miguel De Chaccrampa,PE030214,2717560,0,0,0,0,0,0,0,0
APURIMAC,San Pedro De Cachora,PE030108,2717568,0,0,0,0,0,0,0,0
APURIMAC,Sañayca,PE030412,1704351,0,0,0,0,0,0,0,0
APURIMAC,Santa Maria De Chicmo,PE030215,1705222,0,0,0,0,0,0,0,0
APURIMAC,Santa Rosa,PE030710,1705306,0,0,0,0,0,0,0,0
APURIMAC,Soraya,PE030413,1706183,0,0,0,0,0,0,0,0
APURIMAC,Talavera,PE030216,1706599,0,0,0,0,0,0,0,0
APURIMAC,Tambobamba,PE030501,1706665,0,0,0,0,0,0,0,0
APURIMAC,Tamburco,PE030109,1706759,0,0,0,0,0,0,0,0
APURIMAC,Tapairihua,PE030414,1706850,0,0,0,0,0,0,0,0
APURIMAC,Tintay,PE030415,1707270,0,0,0,0,0,0,0,0
APURIMAC,Toraya,PE030416,1707556,0,0,0,0,0,0,0,0
APURIMAC,Tumay Huaraca,PE030217,2717638,0,0,0,0,0,0,0,0
APURIMAC,Turpay,PE030711,1707966,0,0,0,0,0,0,0,0
APURIMAC,Turpo,PE030218,1707968,0,0,0,0,0,0,0,0
APURIMAC,Uranmarca,PE030607,,0,0,0,0,0,0,0,0
APURIMAC,Vilcabamba,PE030712,1708622,0,0,0,0,0,0,0,0
APURIMAC,Virundo,PE030713,1708762,0,0,0,0,0,0,0,0
APURIMAC,Yanaca,PE030417,1708962,0,0,0,0,0,0,0,0
AREQUIPA,Acari,PE040302,1682987,0,0,0,0,0,0,0,0
AREQUIPA,Achoma,PE040502,1683093,0,0,0,0,0,0,0,0
AREQUIPA,Alca,PE040802,1683379,0,0,0,0,0,0,0,0
AREQUIPA,Alto Selva Alegre,PE040102,2717257,1000,997,1000,664,1000,664,1000,664
AREQUIPA,Andagua,PE040402,1683824,0,0,0,0,0,0,0,0
AREQUIPA,Andaray,PE040602,1683854,0,0,0,0,0,0,0,0
AREQUIPA,Aplao,PE040401,1684085,0,0,0,0,0,0,0,0
AREQUIPA,Arequipa,PE040101,1684203,6100,3852,6000,3683,6100,3272,7600,4771
AREQUIPA,Atico,PE040303,1684375,0,0,0,0,0,0,1000,997
AREQUIPA,Atiquipa,PE040304,1684381,0,0,0,0,0,0,0,0
AREQUIPA,Ayo,PE040403,1684562,0,0,0,0,0,0,0,0
AREQUIPA,Bella Union,PE040305,1684786,0,0,0,0,0,0,0,0
AREQUIPA,Cabanaconde,PE040503,1685050,0,0,0,0,0,0,0,0
AREQUIPA,Cahuacho,PE040306,1685224,0,0,0,0,0,0,0,0
AREQUIPA,Callalli,PE040504,1685442,0,0,0,0,0,0,0,0
AREQUIPA,Camana,PE040201,1685560,0,0,0,0,1000,498,1000,997
AREQUIPA,Caraveli,PE040301,1686001,0,0,0,0,0,0,0,0
AREQUIPA,Cayarani,PE040603,1686488,0,0,0,0,0,0,0,0
AREQUIPA,Caylloma,PE040505,1686500,0,0,0,0,0,0,0,0
AREQUIPA,Cayma,PE040103,1686503,1000,599,0,0,1000,532,1000,666
AREQUIPA,Cerro Colorado,PE040104,2717295,1300,799,1300,1005,1200,899,1800,980
AREQUIPA,Chachas,PE040404,1686975,0,0,0,0,0,0,0,0
AREQUIPA,Chala,PE040307,1687093,0,0,1000,997,0,0,1000,997
AREQUIPA,Chaparra,PE040308,1687331,0,0,0,0,0,0,0,0
AREQUIPA,Characato,PE040105,1687395,0,0,0,0,0,0,0,0
AREQUIPA,Charcana,PE040803,1687420,0,0,0,0,0,0,0,0
AREQUIPA,Chichas,PE040604,1687675,0,0,0,0,0,0,0,0
